key,sheet,row,col,cell_description,confidence,status
ui.need.mood,07,,,"person silhouette — the owner's own icon, not sheet 07's cell",high,mapped
ui.need.joy,-,,,"something unmistakably recreational: dice, cards, a games board",-,gap
ui.need.comfort,-,,,"an armchair or cushion, read as comfort rather than as furniture",-,gap
ui.need.beauty,06,,,paint brush tile,low,mapped
ui.need.space,-,,,an abstract for room to move. Hardest of the needs to draw,-,gap
ui.need.outdoors,06,,,forest and trees tile,med,mapped
ui.need.hygiene,08,,,toilet roll,med,mapped
ui.mood.content,-,,,"mood face, content. No sheet has a human face at all",-,gap
ui.mood.strained,-,,,"mood face, strained",-,gap
ui.mood.breaking,-,,,"mood face, at the break threshold",-,gap
ui.mood.broken,-,,,"mood face, in a break",-,gap
ui.skill.construction,06,4,6,mallet and cog on a workbench,high,mapped
ui.skill.mining,06,1,0,pickaxe on dark rock,high,mapped
ui.skill.salvage,06,1,4,drill bit biting a riveted plate,high,mapped
ui.skill.cooking,06,0,1,stew pot over a fire,high,mapped
ui.skill.growing,06,3,0,"sack of seed, leaf-marked",high,mapped
ui.skill.cutting,09,0,0,"a felling axe laid against split logs",high,mapped
ui.skill.animals,06,3,6,paw print in mud,high,mapped
ui.skill.crafting,06,2,5,hammer striking an anvil,high,mapped
ui.skill.fabrication,06,3,1,crucible pouring molten metal,high,mapped
ui.skill.medicine,06,3,7,"first-aid case, pills spilling",high,mapped
ui.skill.social,08,,,two-way radio,low,mapped
ui.skill.shooting,06,5,0,scope reticle over a landscape,high,mapped
ui.skill.melee,06,3,4,broad axe with slash marks,high,mapped
ui.skill.intellect,06,6,6,"open book, lightbulb above",high,mapped
ui.pawn.colonist,-,,,"a human figure. No sheet contains one, and this is the most-used icon in the HUD",-,gap
ui.pawn.visitor,-,,,"human figure, neutral",-,gap
ui.pawn.hostile,-,,,"human figure, hostile",-,gap
ui.pawn.prisoner,-,,,"human figure, restrained",-,gap
ui.pawn.animal,06,,,boar,med,mapped
ui.pawn.synth,-,,,a machine intelligence. Nothing in the sheets is recognisably robotic,-,gap
ui.pawn.corpse,07,,,skull,high,mapped
ui.status.hauling,08,,,duffel bag,low,mapped
ui.status.building,06,,,hammer and tools tile,med,shared
ui.status.mining,05,,,pickaxe,high,shared
ui.status.felling,-,,,"an axe swung at a trunk",-,gap
ui.status.sleeping,08,,,mattress,high,shared
ui.status.eating,02,,,bowl of cooked food,high,shared
ui.status.idle,06,,,hourglass tile,med,mapped
ui.status.recreating,-,,,off-duty by choice. Blocked on the same missing recreation art as ui.need.joy,-,gap
ui.status.tending,06,,,medical cross tile,high,shared
ui.status.downed,-,,,a figure prone. Blocked on the missing human figure,-,gap
ui.status.bleeding,06,,,blood bag tile,low,mapped
ui.status.burning,06,,,flame tile,high,mapped
ui.status.drafted,05,,,rifle,med,mapped
ui.work.firefighting,05,,,"spray canister, read as an extinguisher",low,mapped
ui.work.patient,06,,,medical cross tile,high,shared
ui.work.bedrest,08,,,mattress,high,shared
ui.work.doctor,08,,,first-aid kit,high,shared
ui.work.warden,06,,,barred cage tile,med,mapped
ui.work.handling,06,,,paw print tile,high,shared
ui.work.cooking,06,,,cooking pot tile,high,shared
ui.work.hunting,06,,,spear and hunt tile,high,mapped
ui.work.construction,06,,,hammer and tools tile,med,shared
ui.work.growing,06,,,ploughed field tile,high,shared
ui.work.mining,05,,,pickaxe,high,shared
ui.work.salvaging,05,,,powered drill,med,shared
ui.work.cutting,05,,,sickle,high,mapped
ui.work.hauling,08,,,duffel bag,low,shared
ui.work.cleaning,08,,,bucket,low,mapped
ui.work.research,06,,,book tile,high,shared
ui.work.crafting,03,,,anvil,high,shared
ui.work.tailoring,04,,,thread spool,high,mapped
ui.work.fabrication,06,,,gears tile,med,shared
ui.work.art,06,,,paint brush tile,low,shared
ui.work.operating,04,,,gear,high,shared
ui.work.rescue,-,,,carrying a casualty. Blocked on the missing human figure,-,gap
ui.status.treating,-,,,"hands dressing a wound. Blocked on the missing human figure",-,gap
ui.status.patient,-,,,"a figure lying in bed. Blocked on the missing human figure",-,gap
ui.status.cooking,-,,,"a figure stirring a pan. Blocked on the missing human figure",-,gap
ui.health.brain,07,,,brain,high,mapped
ui.health.head,07,,,skull,high,shared
ui.health.eye,07,,,eyeball,high,mapped
ui.health.ear,-,,,an ear,-,gap
ui.health.nose,-,,,a nose,-,gap
ui.health.jaw,07,,,tooth or tusk,med,mapped
ui.health.neck,-,,,"a neck, distinguishable from a torso",-,gap
ui.health.torso,07,,,ribcage,high,mapped
ui.health.heart,07,,,heart,high,shared
ui.health.lung,07,,,lungs,high,mapped
ui.health.liver,07,,,liver,high,mapped
ui.health.kidney,07,,,kidney,med,mapped
ui.health.stomach,07,,,stomach,med,mapped
ui.health.spine,07,,,spine or vertebrae,med,mapped
ui.health.shoulder,-,,,a shoulder joint,-,gap
ui.health.arm,07,,,arm,med,mapped
ui.health.hand,07,,,hand or claws,med,mapped
ui.health.finger,-,,,a finger,-,gap
ui.health.leg,07,,,leg,med,mapped
ui.health.foot,-,,,a foot,-,gap
ui.health.blood,06,,,blood bag tile,low,shared
ui.health.scar,-,,,an old healed wound,-,gap
ui.health.wound,07,,,"cut of meat, read as a fresh wound",low,mapped
ui.health.burn,06,,,flame tile,low,shared
ui.health.fracture,07,,,cracked bone,med,mapped
ui.health.missing,-,,,"an absent limb, shown as a silhouette gap",-,gap
ui.health.implant,-,,,a fitted mechanical part,-,gap
ui.health.anaesthetic,-,,,under anaesthetic. A syringe or a mask would do,-,gap
ui.item.knife,05,,,knife,high,mapped
ui.item.sword,05,,,blade,high,shared
ui.item.club,05,,,spiked club,high,mapped
ui.item.spear,03,,,spear,high,mapped
ui.item.pickaxe,05,,,pickaxe,high,shared
ui.item.shovel,05,,,shovel,high,mapped
ui.item.hammer,05,,,hammer,high,mapped
ui.item.wrench,01,,,wrench,high,mapped
ui.item.drill,05,,,powered drill,high,shared
ui.item.axe,05,,,hatchet,high,mapped
ui.item.cutter,05,,,cutting torch or spray,low,mapped
ui.item.pistol,05,,,revolver,high,mapped
ui.item.rifle,05,,,rifle,med,shared
ui.item.shotgun,-,,,"a scattergun, distinguishable from the rifle",-,gap
ui.item.crossbow,05,,,crossbow,high,mapped
ui.item.grenade,08,,,grenade or flare,med,mapped
ui.item.shield,05,,,shield,high,mapped
ui.item.helmet,-,,,a helmet,-,gap
ui.item.vest,08,,,hi-vis or armoured vest,med,mapped
ui.item.jacket,-,,,a coat or jacket,-,gap
ui.item.mask,08,,,gas mask,high,mapped
ui.item.boots,-,,,a pair of boots,-,gap
ui.item.pack,08,,,backpack,high,mapped
ui.item.flashlight,08,,,torch,high,mapped
ui.item.radio,08,,,two-way radio,high,shared
ui.item.compass,08,,,compass,high,mapped
ui.item.binoculars,08,,,binoculars,high,mapped
ui.item.toolkit,08,,,briefcase or tool case,med,mapped
ui.item.canteen,08,,,water bottle,high,shared
ui.item.bedroll,03,,,bedroll,high,mapped
ui.arch.category.structure,06,,,gate and doorway tile,med,mapped
ui.arch.category.zones,08,,,folded map,med,mapped
ui.arch.category.orders,06,,,hammer and tools tile,med,shared
ui.arch.category.power,08,,,battery,high,shared
ui.arch.category.production,06,,,gears tile,med,shared
ui.arch.category.furniture,03,,,table,high,mapped
ui.arch.category.security,05,,,shield,high,shared
ui.arch.category.salvage,05,,,powered drill,med,shared
ui.arch.category.floors,04,,,metal floor plate,high,mapped
ui.arch.category.recreation,-,,,a recreation category mark. Blocked on the same missing art as ui.need.joy,-,gap
ui.arch.tool.wall,03,,,brick wall section,med,mapped
ui.arch.tool.door,06,,,gate and doorway tile,med,shared
ui.arch.tool.stair,-,,,a staircase. M1 needs it and no sheet has one,-,gap
ui.arch.tool.ladder,-,,,a ladder. M1 needs it and no sheet has one,-,gap
ui.arch.tool.pillar,04,,,pipe or column length,low,mapped
ui.arch.tool.roof,-,,,a roof or ceiling panel seen from below. Central to the layer model,-,gap
ui.arch.tool.reclaim,-,,,"adopting existing ruined structure. Our own invention, nothing to borrow",-,gap
ui.arch.tool.window,04,,,glass pane,high,shared
ui.arch.tool.hatch,-,,,a hatch in a floor,-,gap
ui.arch.tool.airlock,-,,,a sealed double door,-,gap
ui.arch.tool.stockpile,08,,,wooden crate,high,mapped
ui.arch.tool.growzone,06,,,ploughed field tile,high,shared
ui.arch.tool.allowed,08,,,folded map,med,shared
ui.arch.tool.dumping,08,,,plastic rubbish bag,low,mapped
ui.arch.tool.kennel,06,,,paw print tile,high,shared
ui.arch.tool.mine,05,,,pickaxe,high,shared
ui.arch.tool.deconstruct,01,,,wrench,med,shared
ui.arch.tool.salvage,05,,,powered drill,med,shared
ui.arch.tool.haulurgent,08,,,duffel bag,low,shared
ui.arch.tool.cancel,-,,,"a cancel mark. Trivial to draw, and in the HUD constantly",-,gap
ui.arch.tool.forbid,08,,,"padlock, closed",high,mapped
ui.arch.tool.fell,-,,,"an axe against a trunk",-,gap
ui.arch.tool.allowitem,08,,,key,high,mapped
ui.arch.tool.clearrubble,05,,,shovel,high,shared
ui.arch.tool.extinguish,05,,,spray canister,low,shared
ui.arch.tool.harvest,05,,,sickle,high,shared
ui.arch.tool.conduit,04,,,coil of wire,high,shared
ui.arch.tool.unwire,04,,,coil of wire,med,shared
ui.arch.tool.battery,08,,,battery,high,shared
ui.arch.tool.generator,08,,,petrol generator,high,mapped
ui.arch.tool.solar,08,,,solar panel,high,mapped
ui.arch.tool.wind,-,,,a wind turbine,-,gap
ui.arch.tool.geothermal,-,,,a geothermal or steam tap,-,gap
ui.arch.tool.switch,-,,,a power switch or breaker,-,gap
ui.arch.tool.reactor,08,,,radiation canister,med,mapped
ui.arch.tool.fabricator,06,,,gears tile,med,shared
ui.arch.tool.galley,03,,,cauldron over a fire,high,mapped
ui.arch.tool.reclaimer,-,,,a machine that sorts scrap. Our own invention,-,gap
ui.arch.tool.hydroponics,-,,,a hydroponic basin. Central to food in a ruined city,-,gap
ui.arch.tool.bench,03,,,workbench,high,mapped
ui.arch.tool.tailorbench,03,,,spinning wheel,low,mapped
ui.arch.tool.smithy,03,,,anvil,high,shared
ui.arch.tool.butcher,05,,,cleaver,high,mapped
ui.arch.tool.researchbench,06,,,book tile,high,shared
ui.arch.tool.comms,08,,,two-way radio,high,shared
ui.arch.tool.bunk,03,,,bedroll,high,shared
ui.arch.tool.bed,08,,,mattress,high,shared
ui.arch.tool.table,03,,,table,high,shared
ui.arch.tool.chair,03,,,stool or bench,med,mapped
ui.arch.tool.lamp,08,,,light bulb,high,mapped
ui.arch.tool.shelf,08,,,metal shelving or case,low,mapped
ui.arch.tool.locker,08,,,metal footlocker,med,mapped
ui.arch.tool.campfire,03,,,campfire,high,mapped
ui.arch.tool.cooler,-,,,a cooling unit,-,gap
ui.arch.tool.heater,-,,,"a heating unit, distinct from the brazier",-,gap
ui.arch.tool.vent,04,,,length of pipe,med,shared
ui.arch.tool.turret,-,,,an automated gun. M6 needs it,-,gap
ui.arch.tool.trap,03,,,snare trap,high,mapped
ui.arch.tool.barricade,08,,,sandbag,high,mapped
ui.arch.tool.sandbag,08,,,sandbag,high,shared
ui.arch.tool.searchlight,08,,,warning light,med,mapped
ui.arch.tool.deckplate,04,,,metal floor plate,high,shared
ui.arch.tool.grating,04,,,mesh or mat,med,mapped
ui.arch.tool.concretefloor,08,,,breeze block,med,shared
ui.arch.tool.tile,-,,,a finished floor tile,-,gap
ui.arch.tool.removefloor,-,,,removing a floor. Pairs with the missing roof icon,-,gap
ui.arch.tool.recbench,03,,,stool or bench,med,shared
ui.arch.tool.gamestable,-,,,a games table. Same gap as recreation throughout,-,gap
ui.arch.tool.viewscreen,-,,,a screen or monitor,-,gap
ui.arch.tool.planter,03,,,clay pot,low,mapped
ui.arch.tool.sculpture,-,,,a sculpture or art object,-,gap
ui.command.draft,05,,,rifle,med,shared
ui.command.undraft,-,,,standing down. Pairs with draft,-,gap
ui.command.attack,06,,,crosshair tile,high,shared
ui.command.moveto,-,,,a movement order marker,-,gap
ui.command.hold,-,,,holding position,-,gap
ui.command.prioritise,-,,,"do this next. An abstract, and heavily used",-,gap
ui.command.rescue,-,,,carrying a casualty. Blocked on the missing human figure,-,gap
ui.command.capture,-,,,taking someone prisoner,-,gap
ui.command.arrest,-,,,an arrest,-,gap
ui.command.tend,06,,,medical cross tile,high,shared
ui.command.operate,05,,,"knife, read as a scalpel",med,mapped
ui.command.install,-,,,placing a built thing,-,gap
ui.command.uninstall,-,,,picking a built thing up intact,-,gap
ui.command.reinstall,-,,,moving a built thing,-,gap
ui.command.equip,05,,,hammer,med,shared
ui.command.unequip,-,,,putting a weapon down,-,gap
ui.command.wear,08,,,hi-vis or armoured vest,med,shared
ui.command.drop,-,,,dropping a carried item,-,gap
ui.command.pickup,08,,,backpack,med,shared
ui.command.refuel,08,,,jerrycan,high,shared
ui.command.switchon,-,,,"a power state, on",-,gap
ui.command.switchoff,-,,,"a power state, off",-,gap
ui.command.tame,06,,,paw print tile,high,shared
ui.command.train,-,,,"training an animal, distinct from taming",-,gap
ui.command.slaughter,05,,,cleaver,high,shared
ui.command.butcher,05,,,cleaver,high,shared
ui.command.release,-,,,releasing an animal,-,gap
ui.command.sow,01,,,acorns and seeds,med,shared
ui.command.bury,-,,,a grave,-,gap
ui.command.sleep,08,,,mattress,high,shared
ui.command.eat,02,,,bowl of cooked food,high,shared
ui.command.recreate,-,,,the recreation gap again,-,gap
ui.command.setpriority,-,,,a priority number badge,-,gap
ui.command.setowner,-,,,assigning a thing to a person,-,gap
ui.command.setzone,08,,,folded map,med,shared
ui.command.copysettings,-,,,copy. Pure interface abstraction,-,gap
ui.command.pastesettings,-,,,paste. Pure interface abstraction,-,gap
ui.command.rename,-,,,renaming. Pure interface abstraction,-,gap
ui.command.selectsimilar,-,,,select-similar. Pure interface abstraction,-,gap
ui.command.jumpto,-,,,jump the camera and slice here,-,gap
ui.command.follow,08,,,binoculars,med,shared
ui.command.inspect,01,,,magnifying glass,high,shared
ui.command.trade,08,,,coin,high,shared
ui.command.recruit,-,,,persuading someone to join,-,gap
ui.command.gift,08,,,wrapped parcel or crate,low,mapped
ui.command.evacuate,-,,,clear this area now,-,gap
ui.command.hunt,06,,,spear and hunt tile,high,shared
ui.command.strip,-,,,taking everything a pawn carries,-,gap
ui.command.fightback,-,,,raised fists,-,gap
ui.command.defend,-,,,a shield over a figure,-,gap
ui.command.flee,-,,,a figure running away,-,gap
ui.command.ride,-,,,"an eye over a figure's shoulder",-,gap
ui.command.leaveride,-,,,"Interface words, no icon wanted",-,gap
ui.command.sethearth,-,,,a house over a campfire,-,gap
ui.overlay.temperature,06,,,flame tile,med,shared
ui.overlay.light,06,,,torch tile,med,mapped
ui.overlay.beauty,06,,,paint brush tile,low,shared
ui.overlay.cleanliness,08,,,bucket,low,shared
ui.overlay.roofs,-,,,a roofed-area mark. Pairs with the missing roof tool icon,-,gap
ui.overlay.zones,08,,,folded map,med,shared
ui.overlay.power,08,,,battery,high,shared
ui.overlay.home,-,,,"a house, drawn as a path (docs/reference/mockups/home-glyph.svg)",-,gap
ui.home.hearth,-,,,"the home glyph, drawn as a path (docs/reference/mockups/home-glyph.svg)",-,gap
ui.tab.assign,-,,,"drawn with ui.tab.colonists' art (HudCommands.IconOf)",-,gap
ui.keys.assign,-,,,"a key binding; no icon",-,gap
ui.assign.colonist,-,,,"a column heading; no icon",-,gap
ui.assign.area,-,,,"a column heading; no icon",-,gap
ui.assign.response,-,,,"a column heading; no icon",-,gap
ui.assign.anywhere,-,,,"a setting value; no icon",-,gap
ui.assign.home,-,,,"a setting value; no icon",-,gap
ui.assign.nohearth,-,,,"a note; no icon",-,gap
ui.overlay.salvage,05,,,powered drill,med,shared
ui.overlay.support,04,,,"metal beam, I-section",med,shared
ui.overlay.traffic,-,,,footfall. An abstract with no obvious source,-,gap
ui.tab.build,06,,,"hammer and tools tile — the owner's own icon, shared with ui.status.building",high,shared
ui.tab.work,06,,,"claw glove tile — the owner's own icon, not sheet 06's cell",high,mapped
ui.tab.schedule,06,,,"calendar grid tile — the owner's own icon, not sheet 06's cell",high,mapped
ui.tab.research,06,,,"book tile — the owner's own icon, not sheet 06's cell",high,mapped
ui.tab.colonists,06,,,"three-person silhouette tile — the owner's own icon, not sheet 06's cell",high,mapped
ui.tab.animals,06,,,paw print tile,high,shared
ui.tab.wildlife,06,,,boar,med,shared
ui.tab.bills,04,,,rolled paper,high,shared
ui.tab.trade,08,,,coin,high,shared
ui.tab.factions,08,,,red flag,high,mapped
ui.tab.archive,08,,,notebook,high,mapped
ui.tab.almanac,08,,,notebook,high,shared
ui.tab.menu,-,,,a settings or menu mark,-,gap
ui.alert.starvation,02,,,empty bowl,low,mapped
ui.alert.breach,-,,,a hole in a wall. Our own concept,-,gap
ui.alert.unsupported,-,,,an unsupported span about to fall. Central to the layer model,-,gap
ui.alert.collapse,-,,,a collapse that has happened,-,gap
ui.alert.cold,06,,,snowflake tile,high,mapped
ui.alert.heat,06,,,flame tile,med,shared
ui.alert.idle,06,,,hourglass tile,med,shared
ui.alert.nomedicine,08,,,"first-aid kit, empty or crossed",low,mapped
ui.alert.nobed,08,,,mattress,low,shared
ui.alert.nofood,02,,,empty bowl,low,shared
ui.alert.fire,06,,,flame tile,high,shared
ui.alert.injured,06,,,blood bag tile,med,shared
ui.alert.disease,07,,,larvae or parasite,low,mapped
ui.alert.infection,07,,,diseased organ,low,mapped
ui.alert.mentalbreak,-,,,a mental break. Blocked on the missing face art,-,gap
ui.alert.prisonerescape,-,,,a prisoner getting out,-,gap
ui.alert.raid,06,,,crosshair tile,med,shared
ui.alert.drop,-,,,"something arriving through open sky. Our own concept, and verticality-specific",-,gap
ui.alert.powerloss,08,,,"battery, empty",med,shared
ui.alert.nofuel,08,,,jerrycan,med,shared
ui.alert.spoilage,02,,,mouldy or spoiled food,low,mapped
ui.alert.darkness,06,,,"torch tile, unlit",low,shared
ui.alert.trapped,-,,,a colonist cut off from the colony,-,gap
ui.alert.nohearth,-,,,a campfire ring with no fire,-,gap
ui.alert.hearthdown,-,,,a campfire under a deconstruct mark,-,gap
ui.bulletin.salvage,04,,,pile of mixed metal offcuts,med,shared
ui.bulletin.arrival,-,,,someone arriving. Blocked on the missing human figure,-,gap
ui.bulletin.trader,08,,,briefcase,med,shared
ui.bulletin.caravan,08,,,backpack,med,shared
ui.bulletin.raidincoming,06,,,crosshair tile,med,shared
ui.bulletin.weather,06,,,water drop tile,med,mapped
ui.bulletin.death,07,,,skull,high,shared
ui.bulletin.recruited,-,,,a prisoner joining us,-,gap
ui.bulletin.research,06,,,book tile,high,shared
ui.bulletin.quest,08,,,sealed envelope or document,low,mapped
ui.bulletin.wanderer,-,,,someone asking to join,-,gap
ui.bulletin.refugee,-,,,someone asking for shelter,-,gap
ui.bulletin.animaljoin,06,,,paw print tile,med,shared
ui.bulletin.crash,-,,,a crashed ship or drop pod,-,gap
ui.bulletin.supplydrop,-,,,"a stack falling from the sky. Our own concept",-,gap
ui.bulletin.scrapdrop,-,,,"scrap metal falling from the sky. Our own concept",-,gap
ui.bulletin.medicaldrop,-,,,"medical supplies falling from the sky. Our own concept",-,gap
ui.bulletin.birth,-,,,a newborn animal,-,gap
ui.bulletin.theft,-,,,"a figure carrying a sack off the edge. Our own concept",-,gap
ui.bulletin.banditleft,-,,,"a figure walking off the edge. Our own concept",-,gap
ui.weather.clear,-,,,clear sky or sun,-,gap
ui.weather.cloudy,-,,,cloud,-,gap
ui.weather.rain,06,,,water drop tile,med,shared
ui.weather.storm,-,,,lightning,-,gap
ui.weather.snow,06,,,snowflake tile,high,shared
ui.weather.fog,-,,,fog or mist,-,gap
ui.weather.ashfall,-,,,ash falling,-,gap
ui.weather.heatwave,06,,,flame tile,low,shared
ui.weather.coldsnap,06,,,snowflake tile,low,shared
ui.weather.toxic,08,,,radiation trefoil,high,mapped
ui.weather.windstorm,-,,,wind,-,gap
ui.layer.up,06,,,green upward arrow tile,med,mapped
ui.layer.down,-,,,a downward arrow to match the up arrow,-,gap
ui.layer.ground,-,,,a ground or street level mark,-,gap
ui.layer.policy.hide,-,,,visibility mode: hide above,-,gap
ui.layer.policy.ghost,-,,,visibility mode: ghost outlines,-,gap
ui.layer.policy.xraymin,-,,,"visibility mode: x-ray, one layer",-,gap
ui.layer.policy.xray,-,,,"visibility mode: x-ray, all layers",-,gap
ui.layer.policy.roofsoff,-,,,visibility mode: roofs off,-,gap
ui.layer.policy.full,-,,,visibility mode: no cut-away,-,gap
ui.speed.pause,-,,,"pause. Universal symbol, trivial to draw, not in the sheets",-,gap
ui.speed.play,-,,,normal speed,-,gap
ui.speed.fast,-,,,fast forward,-,gap
ui.speed.ultra,-,,,very fast,-,gap
ui.arch.tool.blastdoor,-,,,"a heavy blast door, distinct from a normal door",-,gap
ui.terrain.grass,-,,,"a tuft of grass on a ground tile",-,gap
ui.terrain.bareearth,-,,,"a bare soil tile",-,gap
ui.terrain.gravel,-,,,"a tile of loose stones",-,gap
ui.terrain.sand,-,,,"a plain sand tile",-,gap
ui.terrain.marsh,-,,,"a reed or two on wet ground",-,gap
ui.terrain.water.shallow,-,,,"ripples with the bed showing through",-,gap
ui.terrain.water.deep,-,,,"flat dark water, no bed visible",-,gap
ui.terrain.rock,-,,,"a face of natural stone",-,gap
ui.terrain.subsoil,-,,,"a tile of dug earth",-,gap
ui.terrain.bedrock,-,,,"a tile of dark, banded stone",-,gap
ui.terrain.deepstone,-,,,"a face of dense blue-grey stone",-,gap
ui.terrain.tree.birch,-,,,"a slim pale-trunked tree",-,gap
ui.terrain.tree.meadow,-,,,"a round-crowned tree",-,gap
ui.terrain.tree.fruit,-,,,"a low tree with a spreading crown",-,gap
ui.terrain.tree.giant,-,,,"a towering tree dwarfing a figure",-,gap
ui.terrain.bush,-,,,"a round green bush",-,gap
ui.terrain.bush.berry,-,,,"a bush dotted with red berries",-,gap
ui.terrain.bush.picked,-,,,"a bare bush with no berries",-,gap
ui.res.berries,-,,,"a handful of red berries",-,gap
ui.res.mushrooms,-,,,"two capped mushrooms",-,gap
ui.status.foraging,-,,,"a hand picking a berry",-,gap
ui.storage.priority.last,-,,,"a single chevron pointing down, the bottom rung of a ladder",-,gap
ui.storage.priority.low,-,,,"a chevron pointing down above a short level bar",-,gap
ui.storage.priority.normal,-,,,"a level bar, pointing neither up nor down",-,gap
ui.storage.priority.preferred,-,,,"a chevron pointing up above a short level bar",-,gap
ui.storage.priority.urgent,-,,,"two stacked chevrons pointing up",-,gap
ui.storage.preset.everything,-,,,"an open crate with every slot filled",-,gap
ui.storage.preset.nothing,-,,,"an open crate, empty, slots showing",-,gap
ui.res.category.food,-,,,"a ration tin beside a carrot top",-,gap
ui.res.category.medicine,-,,,"a rolled bandage and a small vial",-,gap
ui.res.category.materials,-,,,"a plank laid across a cut stone block",-,gap
ui.res.category.books,-,,,"a closed book seen spine-on",-,gap
ui.res.category.items,-,,,"a slung pack with a buckled strap",-,gap
ui.res.category.weapons,-,,,"a knife crossed over a rifle barrel",-,gap
ui.tab.storage,-,,,"an open crate seen from above",-,gap
ui.tab.tile,-,,,"a single square of ground, in plan",-,gap
ui.recipe.meal,-,,,"a pan with food in it. Our own concept",-,gap
ui.bill.heading,-,,,"a list of orders pinned up. Our own concept",-,gap
ui.bill.add,-,,,"a plus. Interface furniture drawn as a HudGlyph",-,gap
ui.bill.none,-,,,"an empty list. Interface words, no icon wanted",-,gap
ui.bill.mode.until,-,,,"Interface words, no icon wanted",-,gap
ui.bill.mode.times,-,,,"Interface words, no icon wanted",-,gap
ui.bill.mode.forever,-,,,"Interface words, no icon wanted",-,gap
ui.bill.suspended,-,,,"a pause mark. Interface furniture drawn as a HudGlyph",-,gap
ui.bill.done,-,,,"a tick. Interface furniture drawn as a HudGlyph",-,gap
ui.bill.unpowered,-,,,"a broken plug. Our own concept",-,gap
ui.bill.waiting,-,,,"Interface words, no icon wanted",-,gap
ui.bill.needs,-,,,"Interface words, no icon wanted",-,gap
ui.bill.needs.fire,-,,,"Interface words, no icon wanted",-,gap
ui.bill.supply,-,,,"Interface words, no icon wanted",-,gap
ui.bill.nosupply,-,,,"an empty basket. Our own concept",-,gap
